SITEID,MONTH,TYPE,VALUE,
US1MNCV0008,20150101,PRCP,0,
US1MNCV0008,20150101,SNOW,0,
US1MNCV0008,20150101,WESF,0,
US1MISW0005,20150101,PRCP,0,
ASN00015643,20150101,TMAX,373,
ASN00015643,20150101,TMIN,222,
ASN00015643,20150101,PRCP,0,
ASN00085296,20150101,TMAX,254,
ASN00085296,20150101,TMIN,110,
ASN00085296,20150101,PRCP,0,
US1LAEB0041,20150101,PRCP,0,
US1LAEB0041,20150101,SNOW,0,
ASN00085280,20150101,TMAX,262,
ASN00085280,20150101,TMIN,88,
ASN00085280,20150101,PRCP,0,
ASN00040209,20150101,PRCP,0,
US1KSSG0097,20150101,PRCP,0,
US1KSSG0097,20150101,SNWD,13,
US1KSGO0009,20150101,PRCP,0,
US1KSGO0009,20150101,SNOW,0,
US1KSEL0074,20150101,PRCP,0,
US1KSEL0074,20150101,SNOW,0,
US1INNW0001,20150101,PRCP,0,
US1INNW0001,20150101,SNOW,0,
US1INKS0032,20150101,PRCP,0,
US1INKS0032,20150101,SNOW,0,
US1INLK0068,20150101,PRCP,0,
US1INLK0068,20150101,SNOW,0,
US1INFL0003,20150101,PRCP,0,
US1INFL0003,20150101,SNOW,0,
US1INFL0003,20150101,SNWD,0,
ASN00009661,20150101,PRCP,0,
US1ILMG0006,20150101,PRCP,0,
US1ILMG0006,20150101,SNOW,0,
US1ILKD0005,20150101,PRCP,0,
US1ILCP0081,20150101,PRCP,0,
US1ILCP0081,20150101,SNOW,0,
US1ILCP0081,20150101,SNWD,0,
US1ILCP0072,20150101,PRCP,0,
US1ILCP0072,20150101,SNOW,0,
ASN00014814,20150101,PRCP,534,
US1ILCK0232,20150101,PRCP,0,
US1ILCK0232,20150101,SNOW,0,
US1ILCK0232,20150101,SNWD,0,
US1IACL0002,20150101,PRCP,0,
US1IACL0002,20150101,SNOW,0,
US1ILCK0129,20150101,PRCP,0,
US1ILCK0129,20150101,SNOW,0,
US1ILCK0129,20150101,SNWD,0,
US1GAFT0019,20150101,PRCP,0,
US1GAFT0019,20150101,SNOW,0,
US1FLPS0018,20150101,PRCP,0,
US1FLPS0018,20150101,SNOW,0,
US1FLPN0055,20150101,PRCP,8,
ASN00014651,20150101,PRCP,50,
CA005023225,20150101,PRCP,40,
CA005023225,20150101,SNOW,40,
CA005023225,20150101,SNWD,60,
CA005030984,20150101,TMAX,-175,
CA005030984,20150101,TMIN,-258,
CA005030984,20150101,SNWD,430,
US1FLOK0003,20150101,PRCP,0,
US1FLOK0003,20150101,SNOW,0,
US1FLGC0003,20150101,PRCP,0,
US1FLGC0003,20150101,SNOW,0,
US1FLHD0003,20150101,PRCP,3,
ASN00014227,20150101,PRCP,780,
ASN00014167,20150101,PRCP,1090,
CA003076680,20150101,TMAX,15,
CA003076680,20150101,TMIN,-119,
US1CORG0021,20150101,PRCP,10,
US1CORG0021,20150101,SNOW,18,
CA003072151,20150101,TMAX,19,
CA003072151,20150101,TMIN,-151,
CA003072151,20150101,PRCP,16,
ASN00069013,20150101,PRCP,0,
CA003031094,20150101,TMAX,14,
CA003031094,20150101,TMIN,-54,
CA003031094,20150101,PRCP,0,
CA003031094,20150101,SNWD,30,
US1COEP0202,20150101,PRCP,0,
US1COEP0202,20150101,SNOW,0,
ASN00068151,20150101,TMAX,280,
ASN00068151,20150101,TMIN,175,
ASN00068151,20150101,PRCP,16,
ASN00068151,20150101,TAVG,227,
ARM00087582,20150101,TMAX,280,
ARM00087582,20150101,TMIN,183,
ARM00087582,20150101,PRCP,140,
ARM00087582,20150101,TAVG,215,
US1COEP0061,20150101,PRCP,0,
US1COEP0061,20150101,SNOW,0,
US1COEP0061,20150101,SNWD,51,
US1COCC0027,20150101,PRCP,0,
US1COCC0027,20150101,SNOW,0,
USW00094626,20150101,TMAX,-60,
USW00094626,20150101,TMIN,-143,
USW00094626,20150101,PRCP,0,
USW00094626,20150101,AWND,26,
USW00094626,20150101,PGTM,2114,
USW00094626,20150101,WDF2,190,
USW00094626,20150101,WDF5,170,
USW00094626,20150101,WSF2,54,
USW00094626,20150101,WSF5,81,
UVM00065518,20150101,TMAX,320,
UVM00065518,20150101,TMIN,170,
UVM00065518,20150101,TAVG,249,
USW00024229,20150101,TMAX,39,2400
USW00024229,20150101,TMIN,-43,2400
USW00024229,20150101,PRCP,0,2400
USW00024229,20150101,SNOW,0,
USW00024229,20150101,SNWD,0,
USW00024229,20150101,AWND,26,
USW00024229,20150101,TAVG,-11,
USW00024229,20150101,WDF2,110,
USW00024229,20150101,WDF5,120,
USW00024229,20150101,WSF2,63,
USW00024229,20150101,WSF5,76,
USW00014719,20150101,TMAX,44,
USW00014719,20150101,TMIN,-116,
USW00014719,20150101,PRCP,0,
USW00014719,20150101,AWND,66,
USW00014719,20150101,PGTM,1849,
USW00014719,20150101,WDF2,240,
USW00014719,20150101,WDF5,230,
USW00014719,20150101,WSF2,116,
USW00014719,20150101,WSF5,161,
USW00024061,20150101,TMAX,-149,
USW00024061,20150101,TMIN,-271,
USW00024061,20150101,PRCP,0,
USW00024061,20150101,SNOW,0,
USW00024061,20150101,SNWD,80,
USW00024061,20150101,AWND,8,
USW00024061,20150101,WDF2,70,
USW00024061,20150101,WDF5,60,
USW00024061,20150101,WSF2,31,
USW00024061,20150101,WSF5,31,
USS0018F01S,20150101,TMAX,-17,
USS0018F01S,20150101,TMIN,-169,
USS0018F01S,20150101,TOBS,-98,
USS0018F01S,20150101,PRCP,0,
USS0018F01S,20150101,SNWD,203,
USS0018F01S,20150101,TAVG,-97,
USS0018F01S,20150101,WESD,305,
USS0019L03S,20150101,TMAX,47,
USS0019L03S,20150101,TMIN,-139,
USS0019L03S,20150101,TOBS,-107,
USS0019L03S,20150101,PRCP,0,
USS0019L03S,20150101,SNWD,381,
USS0019L03S,20150101,TAVG,-73,
USS0019L03S,20150101,WESD,737,
USW00003048,20150101,TMAX,8,
USW00003048,20150101,TMIN,-76,
USW00003048,20150101,PRCP,6,
USW00003889,20150101,TMAX,28,700
USW00003889,20150101,TMIN,-60,700
USW00003889,20150101,PRCP,0,2400
USW00003889,20150101,SNOW,0,
USW00003889,20150101,SNWD,0,
USW00003889,20150101,AWND,20,
USW00003889,20150101,TAVG,-26,
USW00003889,20150101,WDF2,230,
USW00003889,20150101,WDF5,230,
USW00003889,20150101,WSF2,40,
USW00003889,20150101,WSF5,85,
USW00004131,20150101,TMAX,-164,
USW00004131,20150101,TMIN,-311,
USW00004131,20150101,PRCP,0,
USW00003967,20150101,TMAX,11,
USW00003967,20150101,TMIN,-88,
USW00003967,20150101,PRCP,0,
USW00003967,20150101,AWND,38,
USW00003967,20150101,WDF2,240,
USW00003967,20150101,WDF5,230,
USW00003967,20150101,WSF2,67,
USW00003967,20150101,WSF5,94,
USW00012842,20150101,TMAX,233,2400
USW00012842,20150101,TMIN,150,2400
USW00012842,20150101,PRCP,0,2400
USW00012842,20150101,SNOW,0,
USW00012842,20150101,SNWD,0,
USW00012842,20150101,AWND,29,
USW00012842,20150101,TAVG,173,
USW00012842,20150101,WDF2,40,
USW00012842,20150101,WDF5,30,
USW00012842,20150101,WSF2,54,
USW00012842,20150101,WSF5,67,
USW00012842,20150101,WT01,1,
USW00012842,20150101,WT08,1,
USW00012876,20150101,PGTM,155,
USW00012876,20150101,WDF2,360,
USW00012876,20150101,WDF5,360,
USW00012876,20150101,WSF2,58,
USW00012876,20150101,WSF5,72,
USS0017B04S,20150101,TMAX,-94,
USS0017B04S,20150101,TMIN,-138,
USS0017B04S,20150101,TOBS,-94,
USS0017B04S,20150101,PRCP,0,
USS0017B04S,20150101,SNWD,508,
USS0017B04S,20150101,TAVG,-115,
USS0017B04S,20150101,WESD,1422,
USW00012876,20150101,TMAX,239,
USW00012876,20150101,TMIN,150,
USW00012876,20150101,PRCP,0,
USW00012876,20150101,AWND,31,
USS0014G01S,20150101,TMAX,-40,
USS0014G01S,20150101,TMIN,-139,
USS0014G01S,20150101,TOBS,-99,
USS0014G01S,20150101,PRCP,25,
USS0014G01S,20150101,SNWD,914,
USS0014G01S,20150101,TAVG,-97,
USS0014G01S,20150101,WESD,2311,
US1COAD0119,20150101,PRCP,0,
US1COAD0119,20150101,SNOW,0,
ASN00033110,20150101,PRCP,64,
USS0014F03S,20150101,TMAX,4,
